,Hour,Minute,PM25,PM10,Temp,RH
0,0,0,59,109,28.8,71
1,0,15,59,109,28.6,74
2,0,30,59,109,25.9,75
3,0,45,59,109,22.7,76
4,1,0,96,140,22.6,77
5,1,15,96,140,23.3,78
6,1,30,96,140,23.5,78
7,1,45,96,140,23.6,79
8,2,0,84,119,23.6,80
9,2,15,84,119,23.6,81
10,2,30,84,119,23.4,82
11,2,45,84,119,23.4,82
12,3,0,78,112,23.4,83
13,3,15,78,112,23.2,83
14,3,30,78,112,23.3,83
15,3,45,78,112,23.3,84
16,4,0,77,108,23.4,85
17,4,15,77,108,23.6,86
18,4,30,77,108,25.2,86
19,4,45,77,108,26.6,86
20,5,0,78,110,27.5,87
21,5,15,78,110,28.3,88
22,5,30,78,110,28.8,87
23,5,45,78,110,28.9,87
24,6,0,83,112,29.1,87
25,6,15,83,112,29.2,87
26,6,30,83,112,29.3,86
27,6,45,83,112,29.1,86
28,7,0,94,119,28.9,86
29,7,15,94,119,28.7,86
30,7,30,94,119,28.7,85
31,7,45,94,119,28.7,83
32,8,0,96,134,28.6,80
33,8,15,96,134,28.5,78
34,8,30,96,134,26.4,77
35,8,45,96,134,24,74
36,9,0,99,132,23.2,72
37,9,15,99,132,23.6,69
38,9,30,99,132,24.1,66
39,9,45,99,132,23.1,60
40,10,0,84,125,22.9,56
41,10,15,84,125,23,46
42,10,30,84,125,22.6,41
43,10,45,84,125,22.6,39
44,11,0,57,86,22.7,40
45,11,15,57,86,22.6,39
46,11,30,57,86,22.6,39
47,11,45,57,86,22.6,37
48,12,0,39,67,22.6,36
49,12,15,39,67,22.4,33
50,12,30,39,67,22.8,31
51,12,45,39,67,25,31
52,13,0,33,64,26.5,30
53,13,15,33,64,27.4,29
54,13,30,33,64,28.2,28
55,13,45,33,64,28.7,27
56,14,0,29,61,28.8,26
57,14,15,29,61,28.9,25
58,14,30,29,61,29.2,25
59,14,45,29,61,29.1,25
60,15,0,28,60,29,26
61,15,15,28,60,29.1,25
62,15,30,28,60,29.2,25
63,15,45,28,60,29.1,26
64,16,0,31,65,29.2,26
65,16,15,31,65,29.2,26
66,16,30,31,65,28.6,25
67,16,45,31,65,25,22
68,17,0,30,68,22.2,22
69,17,15,30,68,21.9,23
70,17,30,30,68,22.4,24
71,17,45,30,68,22.5,24
72,18,0,35,77,22.8,25
73,18,15,35,77,22.8,27
74,18,30,35,77,22.9,29
75,18,45,35,77,22.9,30
76,19,0,49,121,23,32
77,19,15,49,121,23,32
78,19,30,49,121,23.1,33
79,19,45,49,121,23.2,34
